num,status,pages,time,timestamp
1,Success,11,50.86s,12:43:17
2,Success,10,42.06s,12:44:16
3,Success,8,38.28s,12:45:03
4,Success,8,37.71s,12:45:52
5,Success,8,35.10s,12:46:36
6,Success,8,37.55s,12:47:23
7,Success,8,36.27s,12:48:17
8,Success,8,37.36s,12:49:10
9,Success,8,36.77s,12:49:55
10,Success,9,38.55s,12:50:50
11,Success,10,45.08s,12:51:53
12,Success,8,36.91s,12:52:47
13,Success,8,37.51s,12:53:42
14,Success,8,36.56s,12:54:32
15,Success,10,45.85s,12:55:30
16,Success,9,39.73s,12:56:32
17,Success,8,37.70s,12:57:27
18,Success,8,34.27s,12:58:18
19,Success,10,40.43s,12:59:15
20,Success,10,44.49s,13:00:18
21,Success,9,38.37s,13:01:08
22,Success,9,42.97s,13:02:03
23,Success,9,42.85s,13:02:53
24,Success,9,38.22s,13:03:48
