response_num,gender,age,occupation,know_host,media_channel,interest_level,participation,benefits,status
1,ชาย,18 - 25 ปี,ข้าราชการ/พนักงานรัฐวิสาหกิจ,ไม่ทราบ,เว็บไซต์ข่าว/แอปพลิเคชันข่าว,สนใจปานกลาง,เข้าชมการแข่งขันในสนาม,ด้านภาพลักษณ์: สร้างชื่อเสียงและภาพลักษณ์ที่ดีของประเทศในระดับนานาชาติ,Success
2,หญิง,18 - 25 ปี,ข้าราชการ/พนักงานรัฐวิสาหกิจ,ทราบ,เว็บไซต์ข่าว/แอปพลิเคชันข่าว,สนใจปานกลาง,เข้าร่วมกิจกรรมประชาสัมพันธ์หรือกิจกรรมเสริมต่างๆ,ด้านเศรษฐกิจ: เพิ่มรายได้จากการท่องเที่ยวและการใช้จ่ายที่เกี่ยวข้อง,Success
3,ชาย,36 - 45 ปี,พนักงานบริษัทเอกชน,ทราบ,เว็บไซต์ข่าว/แอปพลิเคชันข่าว,สนใจปานกลาง,เข้าร่วมกิจกรรมประชาสัมพันธ์หรือกิจกรรมเสริมต่างๆ,ด้านการท่องเที่ยว: ดึงดูดนักท่องเที่ยวต่างชาติให้เดินทางมาไทยมากขึ้น,Success
4,ชาย,36 - 45 ปี,ค้าขาย/เจ้าของธุรกิจ,ทราบ,ป้ายโฆษณา/สื่อประชาสัมพันธ์ภายนอก,สนใจมากที่สุด,ซื้อสินค้าหรือของที่ระลึกที่เกี่ยวข้อง,ด้านสังคม: ส่งเสริมการกีฬาและสร้างแรงบันดาลใจให้กับคนในประเทศ,Success
5,หญิง,26 - 35 ปี,ประกอบอาชีพอิสระ,ทราบ,"สื่อสังคมออนไลน์ (เช่น Facebook, Twitter, Instagram, TikTok)",ไม่สนใจเลย,เข้าร่วมกิจกรรมประชาสัมพันธ์หรือกิจกรรมเสริมต่างๆ,ด้านสังคม: ส่งเสริมการกีฬาและสร้างแรงบันดาลใจให้กับคนในประเทศ,Success
6,ชาย,26 - 35 ปี,ข้าราชการ/พนักงานรัฐวิสาหกิจ,ไม่ทราบ,ป้ายโฆษณา/สื่อประชาสัมพันธ์ภายนอก,สนใจน้อย,ชมการถ่ายทอดสดผ่านโทรทัศน์หรือช่องทางออนไลน์,ด้านภาพลักษณ์: สร้างชื่อเสียงและภาพลักษณ์ที่ดีของประเทศในระดับนานาชาติ,Success
7,หญิง,26 - 35 ปี,ข้าราชการ/พนักงานรัฐวิสาหกิจ,ทราบ,เว็บไซต์ข่าว/แอปพลิเคชันข่าว,สนใจมากที่สุด,ซื้อสินค้าหรือของที่ระลึกที่เกี่ยวข้อง,ด้านเศรษฐกิจ: เพิ่มรายได้จากการท่องเที่ยวและการใช้จ่ายที่เกี่ยวข้อง,Success
8,ชาย,26 - 35 ปี,นักเรียน/นักศึกษา,ไม่ทราบ,ป้ายโฆษณา/สื่อประชาสัมพันธ์ภายนอก,สนใจมากที่สุด,เข้าชมการแข่งขันในสนาม,ด้านสังคม: ส่งเสริมการกีฬาและสร้างแรงบันดาลใจให้กับคนในประเทศ,Success
9,หญิง,18 - 25 ปี,ค้าขาย/เจ้าของธุรกิจ,ไม่ทราบ,"สื่อสังคมออนไลน์ (เช่น Facebook, Twitter, Instagram, TikTok)",สนใจน้อย,เข้าร่วมกิจกรรมประชาสัมพันธ์หรือกิจกรรมเสริมต่างๆ,ด้านเศรษฐกิจ: เพิ่มรายได้จากการท่องเที่ยวและการใช้จ่ายที่เกี่ยวข้อง,Success
10,หญิง,36 - 45 ปี,พนักงานบริษัทเอกชน,ทราบ,เว็บไซต์ข่าว/แอปพลิเคชันข่าว,สนใจน้อย,เข้าร่วมกิจกรรมประชาสัมพันธ์หรือกิจกรรมเสริมต่างๆ,ด้านเศรษฐกิจ: เพิ่มรายได้จากการท่องเที่ยวและการใช้จ่ายที่เกี่ยวข้อง,Success
11,หญิง,36 - 45 ปี,พนักงานบริษัทเอกชน,ทราบ,เว็บไซต์ข่าว/แอปพลิเคชันข่าว,สนใจปานกลาง,เข้าร่วมกิจกรรมประชาสัมพันธ์หรือกิจกรรมเสริมต่างๆ,ด้านเศรษฐกิจ: เพิ่มรายได้จากการท่องเที่ยวและการใช้จ่ายที่เกี่ยวข้อง,Success
