num,status,pages,time,timestamp
1,Success,8,34.66s,12:22:25
2,Success,8,34.19s,12:23:16
3,Success,8,35.93s,12:24:10
4,Success,8,34.77s,12:24:58
5,Success,10,45.64s,12:25:51
6,Success,8,34.35s,12:26:43
7,Success,8,34.64s,12:27:43
8,Success,9,44.35s,12:28:39
9,Success,8,35.51s,12:29:25
10,Success,10,44.47s,12:30:25
11,Success,9,37.50s,12:31:22
12,Success,9,34.18s,12:32:14
13,Success,9,38.70s,12:33:00
14,Success,9,37.70s,12:33:50
15,Success,9,39.24s,12:34:40
16,Success,9,41.10s,12:35:37
17,Success,9,42.39s,12:36:31
18,Success,8,36.54s,12:37:23
19,Success,8,33.81s,12:38:10
20,Success,8,33.46s,12:38:51
21,Success,8,32.26s,12:39:32
22,Success,8,33.29s,12:40:24
23,Success,10,40.89s,12:41:12
